Year,CSIRO Adjusted Sea Level,Lower Error Bound,Upper Error Bound,NOAA Adjusted Sea Level,GMSL,Reconstructed GMSL,ReconstructedGMSL uncertainty
1880,0,-0.952755905,0.952755905,,,-158.7,24.2
1881,0.220472441,-0.732283464,1.173228345,,,-153.1,24.2
1882,-0.440944881,-1.346456692,0.464566929,,,-169.9,23
1883,-0.232283464,-1.129921259,0.66535433,,,-164.6,22.8
1884,0.590551181,-0.283464567,1.464566928,,,-143.7,22.2
1885,0.531496062,-0.330708661,1.393700786,,,-145.2,21.9
1886,0.437007874,-0.381889763,1.255905511,,,-147.6,20.8
1887,0.216535433,-0.602362204,1.03543307,,,-153.2,20.8
1888,0.299212598,-0.519685039,1.118110235,,,-151.1,20.8
1889,0.362204724,-0.456692913,1.181102361,,,-149.5,20.8
1890,0.440944881,-0.374015748,1.255905511,,,-147.5,20.7
1891,0.374015748,-0.440944881,1.188976377,,,-149.2,20.7
1892,0.499999999,-0.31496063,1.314960629,,,-146,20.7
1893,0.685039369,-0.114173228,1.484251967,,,-141.3,20.3
1894,0.303149606,-0.547244094,1.153543306,,,-151,21.6
1895,0.767716535,-0.082677165,1.618110235,,,-139.2,21.6
1896,0.468503937,-0.366141732,1.303149605,,,-146.8,21.2
1897,0.673228346,-0.145669291,1.492125983,,,-141.6,20.8
1898,1.043307086,0.267716535,1.818897636,,,-132.2,19.7
1899,1.338582676,0.574803149,2.102362203,,,-124.7,19.4
1900,1.125984251,0.405511811,1.846456691,,,-130.1,18.3
1901,1.110236219,0.417322834,1.803149604,,,-130.5,17.6
1902,1.291338581,0.61023622,1.972440943,,,-125.9,17.3
1903,1.606299211,0.937007873,2.275590549,,,-117.9,17
1904,1.2007874,0.53543307,1.86614173,,,-128.2,16.9
1905,0.984251968,0.377952756,1.590551179,,,-133.7,15.4
1906,1.251968503,0.673228346,1.83070866,,,-126.9,14.7
1907,1.196850392,0.61023622,1.783464565,,,-128.3,14.9
1908,1.098425196,0.527559055,1.669291337,,,-130.8,14.5
1909,1.27559055,0.700787401,1.850393699,,,-126.3,14.6
1910,1.271653542,0.696850393,1.846456691,,,-126.4,14.6
1911,1.598425195,1.039370078,2.157480313,,,-118.1,14.2
1912,1.476377951,0.917322834,2.035433069,,,-121.2,14.2
1913,1.547244093,0.992125983,2.102362203,,,-119.4,14.1
1914,1.795275589,1.251968503,2.338582675,,,-113.1,13.8
1915,2.10629921,1.57086614,2.641732281,,,-105.2,13.6
1916,2.031496061,1.519685038,2.543307084,,,-107.1,13
1917,1.854330707,1.350393699,2.358267714,,,-111.6,12.8
1918,1.791338581,1.291338581,2.29133858,,,-113.2,12.7
1919,1.854330707,1.354330707,2.354330706,,,-111.6,12.7
1920,1.905511809,1.393700786,2.417322832,,,-110.3,13
1921,1.988188974,1.472440943,2.503937005,,,-108.2,13.1
1922,1.952755904,1.433070865,2.472440942,,,-109.1,13.2
1923,1.999999998,1.488188975,2.511811021,,,-107.9,13
1924,1.712598423,1.196850392,2.228346454,,,-115.2,13.1
1925,1.791338581,1.255905511,2.326771651,,,-113.2,13.6
1926,2.047244092,1.507874014,2.586614171,,,-106.7,13.7
1927,2.003937006,1.496062991,2.511811021,,,-107.8,12.9
1928,1.850393699,1.366141731,2.334645667,,,-111.7,12.3
1929,1.905511809,1.429133857,2.381889761,,,-110.3,12.1
1930,2.062992124,1.590551179,2.535433068,,,-106.3,12
1931,2.047244092,1.566929132,2.527559053,,,-106.7,12.2
1932,2.271653541,1.803149604,2.740157478,,,-101,11.9
1933,2.440944879,1.976377951,2.905511808,,,-96.7,11.8
1934,2.228346454,1.759842518,2.696850391,,,-102.1,11.9
1935,2.448818895,1.980314959,2.917322832,,,-96.5,11.9
1936,2.295275588,1.83070866,2.759842517,,,-100.4,11.8
1937,2.519685037,2.055118108,2.984251965,,,-94.7,11.8
1938,2.622047241,2.157480313,3.08661417,,,-92.1,11.8
1939,2.826771651,2.346456691,3.307086611,,,-86.9,12.2
1940,2.618110234,2.18110236,3.055118107,,,-92.2,11.1
1941,3.098425194,2.673228344,3.523622044,,,-80,10.8
1942,3.098425194,2.673228344,3.523622044,,,-80,10.8
1943,3.098425194,2.673228344,3.523622044,,,-80,10.8
1944,2.84645669,2.425196848,3.267716532,,,-86.4,10.7
1945,2.95669291,2.535433068,3.377952752,,,-83.6,10.7
1946,3.251968501,2.834645666,3.669291335,,,-76.1,10.6
1947,3.374015745,2.996062989,3.7519685,,,-73,9.6
1948,3.562992122,3.19685039,3.929133854,,,-68.2,9.3
1949,3.51181102,3.181102359,3.842519681,,,-69.5,8.4
1950,3.598425193,3.287401571,3.909448815,,,-67.3,7.9
1951,3.972440941,3.665354327,4.279527555,,,-57.8,7.8
1952,3.870078736,3.56692913,4.173228342,,,-60.4,7.7
1953,4.043307082,3.748031492,4.338582673,,,-56,7.5
1954,3.929133854,3.64173228,4.216535429,,,-58.9,7.3
1955,3.964566925,3.685039366,4.244094484,,,-58,7.1
1956,3.763779524,3.488188973,4.039370075,,,-63.1,7
1957,4.291338578,4.019685035,4.562992121,,,-49.7,6.9
1958,4.346456688,4.086614169,4.606299208,,,-48.3,6.6
1959,4.358267712,4.102362201,4.614173224,,,-48,6.5
1960,4.503937003,4.244094484,4.763779523,,,-44.3,6.6
1961,4.748031491,4.488188972,5.007874011,,,-38.1,6.6
1962,4.543307082,4.283464563,4.803149601,,,-43.3,6.6
1963,4.480314956,4.220472437,4.740157475,,,-44.9,6.6
1964,4.169291334,3.905511807,4.433070862,,,-52.8,6.7
1965,4.610236216,4.346456688,4.874015743,,,-41.6,6.7
1966,4.397637791,4.137795271,4.65748031,,,-47,6.6
1967,4.452755901,4.196850389,4.708661413,,,-45.6,6.5
1968,4.484251964,4.220472437,4.748031491,,,-44.8,6.7
1969,4.751968499,4.476377948,5.02755905,,,-38,7
1970,4.67716535,4.401574799,4.9527559,,,-39.9,7
1971,4.881889759,4.610236216,5.153543302,,,-34.7,6.9
1972,5.240157475,4.968503932,5.511811018,,,-25.6,6.9
1973,5.003937003,4.736220468,5.271653538,,,-31.6,6.8
1974,5.472440939,5.204724404,5.740157474,,,-19.7,6.8
1975,5.409448813,5.145669286,5.673228341,,,-21.3,6.7
1976,5.370078735,5.1023622,5.63779527,,,-22.3,6.8
1977,5.303149601,5.043307081,5.56299212,,,-24,6.6
1978,5.555118105,5.291338577,5.818897632,,,-17.6,6.7
1979,5.362204719,5.098425192,5.625984246,,,-22.5,6.7
1980,5.598425191,5.34251968,5.854330703,,,-16.5,6.5
1981,6.086614167,5.830708655,6.342519679,,,-4.1,6.5
1982,5.858267711,5.610236215,6.106299206,,,-9.9,6.3
1983,6.188976372,5.93307086,6.444881883,,,-1.5,6.5
1984,6.153543301,5.905511805,6.401574797,,,-2.4,6.3
1985,5.74803149,5.499999994,5.996062986,,,-12.7,6.3
1986,5.771653537,5.523622042,6.019685033,,,-12.1,6.3
1987,5.795275585,5.551181097,6.039370073,,,-11.5,6.2
1988,5.980314955,5.732283459,6.22834645,,,-6.8,6.3
1989,6.157480309,5.905511805,6.409448812,,,-2.3,6.4
1990,6.232283458,5.972440939,6.492125978,,,0,6.5
1991,6.334645663,6.074803143,6.594488182,,,2.5,6.5
1992,6.35826771,6.094488183,6.622047237,,,3.2,6.6
1993,6.291338576,6.027559049,6.555118104,6.297493046,1.4,1.4,6.6
1994,6.499999993,6.236220466,6.763779521,6.310933553,2.7,6.6,6.6
1995,6.618110229,6.354330702,6.881889757,6.452568661,5.7,9.5,6.6
1996,6.787401568,6.523622041,7.051181095,6.62763131,11.4,13.6,6.6
1997,7.066929127,6.803149599,7.330708654,6.733920367,16.1,20.6,6.6
1998,6.665354324,6.393700781,6.937007867,6.865806069,21.9,10.7,6.8
1999,7.011811016,6.736220466,7.287401567,6.848689771,22.1,19.2,6.8
2000,7.062992119,6.791338576,7.334645662,6.920582014,25,20.5,6.8
2001,7.287401567,7.019685032,7.555118103,7.087460011,29.6,26,6.7
2002,7.381889756,7.110236213,7.653543299,7.319697525,33.3,28.4,6.8
2003,7.759842512,7.484251961,8.035433063,7.488352718,35.4,37.6,6.9
2004,7.740157472,7.464566922,8.015748023,7.507932839,37.6,37.2,6.9
2005,7.74409448,7.472440937,8.015748023,7.644563144,41.4,37.3,6.8
2006,7.917322827,7.645669284,8.18897637,7.697420009,42.9,41.6,6.8
2007,7.996062984,7.712598417,8.279527551,7.70214715,43.2,43.5,7.1
2008,8.350393692,8.078740149,8.622047235,7.90736541,48.6,52.2,6.8
2009,8.586614164,8.311023614,8.862204715,8.04635409,53.5,58,6.9
2010,8.901574794,8.618110227,9.185039361,8.122972567,54.9,65.7,7.1
2011,8.96456692,8.661417314,9.267716526,8.053065004,54.6,67.3,7.5
2012,9.326771644,8.992125975,9.661417313,8.457057629,65.4,76.1,8.3
2013,8.980314951,8.622047235,9.338582668,8.546648227,67.9,67.7,8.9
