Date,Open,High,Low,Close,Adj Close,Volume
1/2/2003,86.139999,86.809998,81,84.900002,56.977924,862248300
1/3/2003,85.260002,89.879997,79.379997,84.739998,56.870571,1156870200
1/4/2003,85.25,92.800003,84.910004,91.910004,61.93119,996114200
1/5/2003,91.919998,97.089996,90.5,96.949997,65.327301,881509900
1/6/2003,97.529999,102.18,96.669998,97.629997,65.785484,867970200
1/7/2003,97.25,101.900002,96.43,99.389999,67.213356,895260500
1/8/2003,99.190002,101.82,96.339996,101.440002,68.59967,772702000
1/9/2003,101.639999,104.699997,99.25,99.949997,67.592033,818513400
1/10/2003,100.239998,105.970001,100.199997,105.300003,71.483391,831700900
1/11/2003,105.75,106.949997,103.620003,106.449997,72.264091,630654200
1/12/2003,106.849998,111.519997,105.959999,111.279999,75.542915,678350400
1/1/2004,111.739998,116.5,110.730003,113.480003,77.400391,737674000
1/2/2004,113.699997,116.599998,112.779999,115.019997,78.450775,676976900
1/3/2004,115.43,116.970001,108.849998,113.099998,77.141197,1125003900
1/4/2004,113.07,115.410004,110.900002,110.959999,75.946877,968620900
1/5/2004,111.370003,113.260002,108.059998,112.860001,77.247375,981083900
1/6/2004,112.459999,114.940002,111.870003,114.529999,78.390427,721880400
1/7/2004,114.25,114.400002,108.209999,110.839996,76.141716,954619200
1/8/2004,110.190002,111.629997,106.589996,111.110001,76.327187,922892000
1/9/2004,110.949997,113.739998,110.410004,111.760002,76.773735,790891900
1/10/2004,112.260002,114.68,109.349998,113.199997,78.086639,1044071300
1/11/2004,113.559998,119.139999,113.199997,117.889999,81.321846,961601700
1/12/2004,118.160004,121.660004,117.730003,120.870003,83.624557,909170200
1/1/2005,121.559998,121.760002,116.370003,118.160004,82.135803,1184211500
1/2/2005,118.25,121.669998,118.099998,120.629997,83.852791,1025608400
1/3/2005,120.82,123.25,116.25,117.959999,81.99678,1330548800
1/4/2005,118.629997,119.260002,113.550003,115.75,80.776596,1633318500
1/5/2005,116.07,120.25,114.800003,119.480003,83.379608,1334647300
1/6/2005,119.519997,121.940002,118.75,119.18,83.170242,1089322900
1/7/2005,119.449997,124.639999,118.260002,123.739998,86.700958,1176306400
1/8/2005,123.830002,124.739998,120.379997,122.580002,85.888191,1306564800
1/9/2005,122.519997,124.739998,120.440002,123.040001,86.21051,1287005000
1/10/2005,122.959999,123.339996,116.879997,120.129997,84.529861,1784566400
1/11/2005,120.580002,127.410004,120.129997,125.410004,88.245155,1183732800
1/12/2005,126.019997,128.089996,124.360001,124.510002,87.61187,1073146800
1/1/2006,125.190002,129.440002,124.389999,127.5,90.191353,1233910800
1/2/2006,127.82,130.039993,125.400002,128.229996,90.707741,1145244400
1/3/2006,128.600006,131.470001,127.18,129.830002,91.839561,1350777100
1/4/2006,130.070007,131.860001,128.020004,131.470001,93.369522,1300327900
1/5/2006,131.470001,132.800003,124.760002,127.510002,90.557106,1752747100
1/6/2006,127.379997,129.429993,122.339996,127.279999,90.393799,2163829300
1/7/2006,127.43,128.139999,122.389999,127.849998,91.199936,1691301400
1/8/2006,127.339996,131.039993,126.279999,130.639999,93.190132,1420345400
1/9/2006,131.139999,133.990005,129.350006,133.580002,95.2873,1363687900
1/10/2006,133.539993,139,132.649994,137.789993,98.722763,1443344100
1/11/2006,138.220001,141.160004,135.619995,140.529999,100.685921,1502059900
1/12/2006,140.529999,143.240005,138.970001,141.619995,101.46682,1212756800
1/1/2007,142.25,144.130005,140.25,143.75,103.566795,1330329900
1/2/2007,144.149994,146.419998,139,140.929993,101.535049,1494548900
1/3/2007,139.339996,143.809998,136.75,142,102.305954,2918304400
1/4/2007,142.160004,149.800003,141.479996,148.289993,107.261398,1791289900
1/5/2007,148.419998,153.889999,147.669998,153.320007,110.89975,2508178000
1/6/2007,153.880005,154.399994,148.059998,150.429993,108.809288,3502885400
1/7/2007,150.869995,155.529999,145.039993,145.720001,105.856781,3988676200
1/8/2007,145.179993,150.589996,137,147.589996,107.21524,6195918600
1/9/2007,147.449997,154.389999,144.330002,152.580002,110.840187,2967009200
1/10/2007,152.600006,157.520004,148.660004,154.649994,112.876869,3850069600
1/11/2007,153.289993,153.410004,140.660004,148.660004,108.504791,5472709900
1/12/2007,148.190002,152.889999,143.960007,146.210007,106.716629,3293787500
1/1/2008,146.529999,146.990005,126,137.369995,100.796547,6106834300
1/2/2008,137.940002,139.610001,131.729996,133.820007,98.191681,4151028600
1/3/2008,133.139999,135.809998,126.07,131.970001,96.834282,5462121800
1/4/2008,133.610001,140.589996,132.330002,138.259995,101.951874,4014652600
1/5/2008,138.380005,144.300003,137.520004,140.350006,103.492981,3646997000
1/6/2008,139.830002,140.889999,127.040001,127.980003,94.371468,5408930000
1/7/2008,126.519997,129.160004,120.019997,126.830002,93.991249,7156206800
1/8/2008,127.120003,131.509995,124.760002,128.789993,95.443748,4344355500
1/9/2008,130.029999,130.710007,110.529999,115.989998,85.957939,8105188900
1/10/2008,115.269997,116.690002,83.580002,96.830002,72.174194,11882352200
1/11/2008,96.779999,100.860001,74.339996,90.089996,67.150398,8762237000
1/12/2008,87.510002,92.43,81.860001,90.239998,67.262184,6919927700
1/1/2009,90.440002,94.449997,80.050003,82.830002,62.240192,6872039400
1/2/2009,81.57,87.739998,73.809998,73.93,55.552559,7275092500
1/3/2009,72.519997,83.300003,67.099998,79.519997,59.753002,8813959700
1/4/2009,78.529999,89.019997,78.330002,87.419998,66.159393,6023006600
1/5/2009,87.440002,93.699997,86.720001,92.529999,70.026619,5195735600
1/6/2009,93.669998,96.110001,88.849998,91.949997,69.587692,5054855000
1/7/2009,92.339996,99.830002,87,98.809998,75.201729,4295844600
1/8/2009,99.849998,104.349998,98.110001,102.459999,77.979668,3957574800
1/9/2009,101.949997,108.059998,99.57,105.589996,80.361824,3777956700
1/10/2009,103,110.309998,101.989998,103.559998,79.19223,4481700800
1/11/2009,104.129997,111.739998,103.080002,109.940002,84.071045,3430866200
1/12/2009,110.919998,113.029999,109.019997,111.440002,85.218086,2883885800
1/1/2010,112.370003,115.139999,107.220001,107.389999,82.563194,3706842300
1/2/2010,108.150002,111.580002,104.580002,110.739998,85.138687,4451912400
1/3/2010,111.199997,118.169998,111.169998,117,89.951508,3899688500
1/4/2010,117.800003,122.120003,117.099998,118.809998,91.719193,3887089700
1/5/2010,119.379997,120.68,104.379997,109.370003,84.431686,7413878800
1/6/2010,108.349998,113.199997,102.879997,103.220001,79.683998,5706059600
1/7/2010,103.150002,112.290001,101.129997,110.269997,85.531502,4725402000
1/8/2010,111.989998,113.18,104.290001,105.309998,81.684265,4541971600
1/9/2010,106.730003,115.790001,106.660004,114.129997,88.525505,4035642500
1/10/2010,114.989998,119.760002,113.18,118.489998,92.399414,3767490800
1/11/2010,119.07,122.949997,117.589996,118.489998,92.399414,3983708900
1/12/2010,120.199997,126.199997,120.190002,125.75,98.060814,2722749900
1/1/2011,126.709999,130.350006,125.699997,128.679993,100.873344,2860314700
1/2/2011,129.460007,134.690002,129.380005,133.149994,104.377411,2820073500
1/3/2011,133.570007,133.690002,125.279999,132.589996,103.938446,4787459400
1/4/2011,133.410004,136.570007,129.509995,136.429993,107.413277,2812718500
1/5/2011,137.070007,137.179993,131.380005,134.899994,106.208679,3337607300
1/6/2011,134.509995,134.919998,126.190002,131.970001,103.901848,4710433400
1/7/2011,132.089996,135.699997,127.970001,129.330002,102.328148,3840768000
1/8/2011,130.839996,130.960007,110.269997,122.220001,96.702576,9050451800
1/9/2011,122.290001,123.400002,111.300003,113.150002,89.52623,6188283200
1/10/2011,112.489998,129.419998,107.43,125.5,99.811508,5721102000
1/11/2011,122.029999,128.020004,116.199997,124.989998,99.405899,5013586000
1/12/2011,124.849998,127.260002,120.029999,125.5,99.811508,3848636100
1/1/2012,127.760002,133.399994,126.43,131.320007,105.1026,2883821400
1/2/2012,132.289993,138.190002,132.130005,137.020004,109.664627,2894582000
1/3/2012,137.309998,141.830002,134.360001,140.809998,112.697922,3057516200
1/4/2012,140.639999,142.210007,135.759995,139.869995,112.436211,3035644100
1/5/2012,139.789993,141.660004,129.550003,131.470001,105.683777,4004156100
1/6/2012,129.410004,136.270004,127.139999,136.100006,109.405655,3644886200
1/7/2012,136.479996,139.339996,132.600006,137.710007,111.27346,2864743300
1/8/2012,138.699997,143.089996,135.580002,141.160004,114.06118,2413590900
1/9/2012,141.039993,148.110001,140.130005,143.970001,116.331741,2391233500
1/10/2012,144.520004,147.160004,140.389999,141.350006,114.824356,2719915500
1/11/2012,141.649994,143.720001,134.699997,142.149994,115.474258,3032769100
1/12/2012,142.800003,145.580002,139.539993,142.410004,115.68544,2889875900
1/1/2013,145.110001,150.940002,144.729996,149.699997,122.469879,2587140200
1/2/2013,150.649994,153.279999,148.729996,151.610001,124.032509,2581459300
1/3/2013,151.089996,156.850006,150.410004,156.669998,128.172073,2330972300
1/4/2013,156.589996,159.720001,153.550003,159.679993,131.215622,2907035000
1/5/2013,159.330002,169.070007,158.100006,163.449997,134.313568,2781596000
1/6/2013,163.830002,165.990005,155.729996,160.419998,131.823715,3533321800
1/7/2013,161.259995,169.860001,160.220001,168.710007,139.369537,2330904500
1/8/2013,169.990005,170.970001,163.050003,163.649994,135.189499,2283131700
1/9/2013,165.229996,173.600006,163.699997,168.009995,138.791214,2226749600
1/10/2013,168.139999,177.509995,164.529999,175.789993,145.926071,2901739000
1/11/2013,176.020004,181.75,174.759995,181,150.250931,1930952900
1/12/2013,181.089996,184.690002,177.320007,184.690002,153.314087,2232775900
1/1/2014,183.979996,184.940002,176.880005,178.179993,148.713043,2530650900
1/2/2014,177.970001,187.149994,173.710007,186.289993,155.481812,2394184600
1/3/2014,184.649994,189.020004,183.75,187.009995,156.082718,2554084300
1/4/2014,187.619995,189.699997,181.309998,188.309998,157.861374,2345902000
1/5/2014,188.220001,192.800003,186.009995,192.679993,161.524826,1781093800
1/6/2014,192.949997,196.600006,191.970001,195.720001,164.073303,1675047300
1/7/2014,196.199997,199.059998,192.970001,193.089996,162.64415,1893710200
1/8/2014,192.559998,200.820007,190.550003,200.710007,169.062653,1829885000
1/9/2014,200.970001,201.899994,196.050003,197.020004,165.954498,2106462700
1/10/2014,196.699997,201.820007,181.919998,201.660004,170.656891,3943068000
1/11/2014,201.919998,207.869995,200.059998,207.199997,175.345154,1571091800
1/12/2014,206.399994,212.970001,197.860001,205.539993,173.940323,3045171000
1/1/2015,206.380005,206.880005,198.550003,199.449997,169.718246,3183506000
1/2/2015,200.050003,212.240005,197.860001,210.660004,179.257095,1901638100
1/3/2015,210.779999,212.059998,204.119995,206.429993,175.657715,2749923000
1/4/2015,206.389999,212.479996,204.509995,208.460007,178.176941,2036685200
1/5/2015,209.399994,213.779999,206.759995,211.139999,180.467621,1892519900
1/6/2015,211.940002,213.339996,205.279999,205.850006,175.94603,2535242600
1/7/2015,207.729996,213.179993,204.110001,210.5,180.7957,2452758000
1/8/2015,210.460007,211.309998,182.399994,197.669998,169.776245,3734926900
1/9/2015,193.119995,202.889999,186.929993,191.630005,164.588531,3279512900
1/10/2015,192.080002,209.440002,189.119995,207.929993,179.516876,2536184400
1/11/2015,208.320007,211.660004,202.179993,208.690002,180.173035,1924512800
1/12/2015,209.440002,211,199.830002,203.869995,176.011627,2924882300
1/1/2016,200.490005,201.899994,181.020004,193.720001,168.244003,3712950900
1/2/2016,192.529999,196.679993,181.089996,193.559998,168.105011,2920730800
1/3/2016,195.009995,206.869995,194.449997,205.520004,178.492172,2323306500
1/4/2016,204.350006,210.919998,203.089996,206.330002,180.119888,1910635600
1/5/2016,206.919998,210.690002,202.779999,209.839996,183.184021,1828530900
1/6/2016,209.119995,212.520004,198.649994,209.479996,182.86972,2612406900
1/7/2016,209.479996,217.539993,207.059998,217.119995,190.524887,1648453700
1/8/2016,217.190002,219.600006,214.25,217.380005,190.753067,1519703200
1/9/2016,217.369995,219.220001,212.309998,216.300003,189.805328,2292393000
1/10/2016,215.820007,216.699997,211.210007,212.550003,187.456848,1725687400
1/11/2016,212.929993,221.820007,208.380005,220.380005,194.362442,2073824400
1/12/2016,220.729996,228.339996,219.149994,223.529999,197.140564,1821910200
1/1/2017,225.039993,229.710007,223.880005,227.529999,201.851089,1482408500
1/2/2017,227.529999,237.309998,226.820007,236.470001,209.782135,1365136600
1/3/2017,238.389999,240.320007,231.610001,235.740005,209.134537,1921474100
1/4/2017,235.800003,239.529999,232.509995,238.080002,212.129272,1549613700
1/5/2017,238.679993,242.080002,235.429993,241.440002,215.123047,1492547000
1/6/2017,241.970001,245.009995,239.960007,241.800003,215.443771,1572753000
1/7/2017,242.880005,248,240.339996,246.770004,220.944305,1055908800
1/8/2017,247.460007,248.910004,241.830002,247.490005,221.588943,1557031500
1/9/2017,247.919998,251.320007,244.949997,251.229996,224.9375,1286405100
1/10/2017,251.490005,257.890015,251.289993,257.149994,231.380569,1320624600
1/11/2017,258.040009,266.049988,255.630005,265.01001,238.452942,1365620900
1/12/2017,264.76001,268.600006,260.76001,266.859985,240.117554,1715222900
1/1/2018,267.839996,286.630005,267.399994,281.899994,254.946823,1985506700
1/2/2018,281.070007,283.059998,252.919998,271.649994,245.676926,2923722000
1/3/2018,271.410004,280.410004,257.829987,263.149994,237.989655,2323561800
1/4/2018,262.549988,271.299988,254.669998,264.51001,240.177658,1998466500
1/5/2018,263.869995,274.25,259.049988,270.940002,246.016098,1606397200
1/6/2018,272.410004,279.480011,268.48999,271.279999,246.324875,1599001000
1/7/2018,269.51001,284.369995,269.23999,281.329987,256.597412,1266892500
1/8/2018,281.559998,291.73999,279.160004,290.309998,264.787994,1308443700
1/9/2018,289.839996,293.940002,286.709991,290.720001,265.161926,1228103300
1/10/2018,292.109985,293.209991,259.850006,270.630005,247.955505,3024345800
1/11/2018,271.600006,281.220001,263.070007,275.649994,252.554932,2021061200
1/12/2018,280.279999,280.399994,233.759995,249.919998,228.980698,3102780500
1/1/2019,245.979996,270.470001,243.669998,269.929993,248.758362,2048691700
1/2/2019,270.149994,281.309998,267.829987,278.679993,256.822083,1371716300
1/3/2019,280.440002,285.179993,272.420013,282.480011,260.324066,1678081300
1/4/2019,284.700012,294.450012,284.399994,294.019989,272.152435,1209204700
1/5/2019,294.720001,294.950012,275.23999,275.269989,254.796921,1845593200
1/6/2019,275.309998,296.309998,273.089996,293,271.208252,1340435600
1/7/2019,296.679993,302.230011,294.329987,297.429993,276.647797,1110102300
1/8/2019,297.600006,300.869995,281.720001,292.450012,272.015808,2034004800
1/9/2019,290.570007,302.630005,289.269989,296.769989,276.033966,1303830000
1/10/2019,297.73999,304.549988,284.820007,303.329987,283.438416,1386748300
1/11/2019,304.920013,315.480011,304.73999,314.309998,293.698517,1037123500
1/12/2019,314.589996,323.799988,307.130005,321.859985,300.753235,1285175800
1/1/2020,323.540009,332.950012,320.359985,321.730011,302.109924,1392003800
1/2/2020,323.350006,339.079987,285.540009,296.26001,278.193146,2110214900
1/3/2020,298.209991,313.839996,218.259995,257.75,242.031662,5926017600
1/4/2020,247.979996,294.880005,243.899994,290.480011,274.369568,2819312300
1/5/2020,285.309998,306.839996,272.98999,304.320007,287.442017,1910460500
1/6/2020,303.619995,323.410004,296.73999,308.359985,291.257874,2358674500
1/7/2020,309.570007,327.230011,309.070007,326.519989,309.767883,1505145300
1/8/2020,328.320007,351.299988,327.730011,349.309998,331.388702,1045563300
1/9/2020,350.209991,358.75,319.799988,334.890015,317.708527,1814712700
1/10/2020,337.690002,354.019989,322.600006,326.540009,311.027008,1629016100
1/11/2020,330.200012,364.380005,327.23999,362.059998,344.859497,1535244300
1/12/2020,365.570007,378.459991,362.029999,373.880005,356.117981,1344541500
1/1/2021,375.309998,385.850006,364.820007,370.070007,353.991486,1402265400
1/2/2021,373.720001,394.170013,370.380005,380.359985,363.834412,1307806200
1/3/2021,385.589996,398.119995,371.880005,396.329987,379.110596,2401715800
1/4/2021,398.399994,420.720001,398.179993,417.299988,400.476837,1462106600
1/5/2021,419.429993,422.820007,404,420.040009,403.106476,1547235900
1/6/2021,422.570007,428.779999,414.700012,428.059998,410.803162,1282152400
1/7/2021,428.869995,441.799988,421.970001,438.51001,422.208618,1422104700
1/8/2021,440.339996,453.070007,436.100006,451.559998,434.773468,1254001400
1/9/2021,452.559998,454.049988,428.779999,429.140015,413.186951,1745559600
1/10/2021,430.980011,459.559998,426.359985,459.25,443.594208,1508665200
1/11/2021,460.299988,473.540009,455.299988,455.559998,440.029999,1335351500
1/12/2021,461.640015,479,448.920013,474.959991,458.768646,1927433900
1/1/2022,476.299988,479.980011,420.76001,449.910004,436.099365,2485167800
1/2/2022,450.679993,458.119995,410.640015,436.630005,423.227051,2297975100
1/3/2022,435.040009,462.070007,415.119995,451.640015,437.776245,2380929500
1/4/2022,453.309998,457.829987,411.209991,412,400.593719,1856757400
1/5/2022,412.070007,429.660004,380.540009,412.929993,401.497955,2418478100
1/6/2022,415.170013,417.440002,362.170013,377.25,366.805756,1958611900
1/7/2022,376.559998,413.029999,371.040009,411.98999,402.314392,1437748400
1/8/2022,409.149994,431.730011,395.040009,395.179993,385.89917,1443394400
1/9/2022,392.890015,411.730011,357.040009,357.179993,348.791595,1998908600
1/10/2022,361.079987,389.519989,348.109985,386.209991,378.689026,2024732000
1/11/2022,390.140015,407.679993,368.790009,407.679993,399.740967,1745985300
1/12/2022,408.769989,410.48999,374.769989,382.429993,374.982697,1735973600
1/1/2023,384.369995,408.160004,377.829987,406.480011,400.394592,1575450100
1/2/2023,405.209991,418.309998,393.640015,396.26001,390.327576,1603094700
1/3/2023,395.410004,409.700012,380.649994,409.390015,403.260986,2515995800
1/4/2023,408.850006,415.940002,403.779999,415.929993,411.266693,1395683000
1/5/2023,415.470001,422.579987,403.73999,417.850006,413.165192,1780705600
1/6/2023,418.089996,444.299988,416.790009,443.279999,438.310059,1749755000
1/7/2023,442.920013,459.440002,437.059998,457.790009,454.338837,1374632400
1/8/2023,456.269989,457.25,433.01001,450.350006,446.954926,1754764700
1/9/2023,453.170013,453.670013,422.290009,427.480011,424.257324,1588673200
1/10/2023,426.619995,438.140015,409.209991,418.200012,416.511292,1999149700
1/11/2023,419.200012,458.320007,418.649994,456.399994,454.557037,1499960600
1/12/2023,455.769989,477.549988,454.309998,475.309998,473.390686,1643108100
1/1/2024,472.160004,489.119995,466.429993,487.410004,487.410004,1454643200
26/1/2024,487.589996,489.119995,486.5401,487.410004,487.410004,62137954
