,Taylor Swift,Justin Bieber,Selena Gomez,Rihanna,Billie Eilish,Alicia Keys,Ed Sheeran
20200101,17556,24542,13270,13210,46197,7419,12034
20200102,17094,18261,14797,12060,40530,4885,10533
20200103,15889,28834,14452,11928,40309,4573,9714
20200104,16336,27926,15666,11080,39854,4727,10129
20200105,14858,28049,14368,12382,36665,4933,10376
20200106,26501,19452,14426,11289,33806,4723,8938
20200107,17015,17764,14603,10890,33490,6019,8842
20200108,13904,18532,15698,9975,32448,4231,7680
20200109,14341,30895,19937,9767,35530,6034,8172
20200110,13440,24048,36441,10131,41100,6383,8804
20200111,14647,27852,32540,11222,52661,6856,9153
20200112,15994,27846,29137,10642,43750,9500,9106
20200113,13356,22168,28846,10082,32303,6038,7635
20200114,15983,19568,38871,9449,79592,6455,7853
20200115,12775,17315,28838,9539,74539,6771,7709
20200116,12925,17208,21734,9639,46353,5772,7764
20200117,11896,18176,22527,11222,57265,6001,9950
20200118,13420,17993,22343,19373,42591,6343,10723
20200119,13951,17235,20105,15888,46804,10778,9809
20200120,12638,16018,16964,12055,39995,6410,8899
20200121,18661,14429,15300,11390,34479,8814,8463
20200122,22141,14211,15769,11627,32242,9672,8158
20200123,18240,15130,13593,10934,37860,8394,8462
20200124,23387,17109,16086,9731,54653,9187,8798
20200125,21953,17994,21124,10638,71078,16333,9801
20200126,18349,15973,19162,11277,64124,15155,8463
20200127,21357,21170,19456,11098,1053999,222325,8609
20200128,16451,58716,18052,9922,436842,32867,8070
20200129,13874,50750,17029,11837,233012,27708,7803
20200130,13192,33444,14538,11347,183163,20870,8011
20200131,47176,26253,13539,11795,139914,12920,7706
20200201,105681,22475,14444,10521,116837,12074,9172
20200202,110116,21866,16377,14234,117134,11394,9306
20200203,68271,18841,14655,12863,82156,10080,8057
20200204,59428,21608,13213,11097,95756,10323,7489
20200205,49322,20678,13032,10828,79745,9655,7741
20200206,43290,20270,12759,10352,64801,9533,7293
20200207,41176,25568,13002,9751,55862,22829,9294
20200208,45735,25194,12593,10582,56965,19200,8714
20200209,45081,47008,13072,10700,71387,14583,9002
20200210,29314,31258,10311,9599,233329,10319,8053
20200211,25031,32062,10707,10010,100629,9273,7441
20200212,23226,30433,10222,9936,67307,7275,7525
20200213,22956,28065,10677,10339,59930,6986,7310
20200214,22504,48272,10507,9815,161705,7694,8468
20200215,28003,46645,11882,9689,103902,8300,9050
20200216,28032,40161,12443,10501,91337,7441,9265
20200217,23531,36114,12534,9363,73138,6660,11416
20200218,25149,34376,11109,9488,183774,6638,9017
20200219,19332,48820,11928,10600,123426,5732,8343
20200220,17201,47030,12843,25825,85353,5676,7760
20200221,17368,44397,14613,18733,73941,7829,7662
20200222,21091,44432,13855,11742,74003,6363,8397
20200223,21334,39573,13113,15798,62253,6717,8375
20200224,17608,34372,11977,12625,52273,13807,7652
20200225,15927,25686,11226,10933,66326,11664,8014
20200226,15442,22771,10564,10156,88798,6649,8913
20200227,19965,23611,10593,9964,54404,6443,8016
20200228,22156,21484,11544,9581,44035,5937,7220
20200229,20448,29186,11416,10458,41793,6981,8770
20200301,20410,35367,11324,9751,41085,5728,10535
20200302,17310,24848,9926,9352,36157,5308,7204
20200303,17122,23712,10423,9594,33390,4418,7094
20200304,14881,24005,9688,9169,31424,4443,7064
20200305,17191,21951,10249,10903,29262,4789,6954
20200306,17990,27527,11615,9775,29586,4825,7172
20200307,17411,26218,12659,9386,31656,5291,7722
20200308,17428,20023,13412,10216,32161,5635,13726
20200309,13828,16572,16161,9262,30795,5044,8470
20200310,12200,15172,11936,9078,58437,5986,6984
20200311,11763,13880,10157,8553,65302,5108,6689
20200312,11719,12978,9428,7820,43219,4533,6753
20200313,11785,12807,9962,8077,35670,6324,7525
20200314,15076,13873,9904,9113,33056,5811,10169
20200315,14779,13153,12579,10580,30829,5649,10277
20200316,11748,11616,9408,8922,25393,4742,7499
20200317,11811,12011,8834,8608,26918,4884,7396
20200318,12558,13507,12786,8453,24636,4645,7304
20200319,11852,13036,9424,8768,23607,5435,7544
20200320,11345,13306,9854,8575,24319,5546,8085
20200321,21669,13971,11464,12489,26010,5520,9121
20200322,20678,13135,11027,12805,26366,28941,9274
20200323,15262,13391,9880,10619,26526,8813,8858
20200324,19379,14190,12787,9760,28764,5912,7934
20200325,16028,13062,11483,9502,26141,8083,8256
20200326,14312,17732,12446,10549,26328,11677,7885
20200327,14723,14859,12133,15111,26945,11371,7908
20200328,15743,14346,12098,13160,29519,9230,8574
20200329,15857,15614,13254,16009,35206,11428,9211
20200330,14143,14425,12309,17418,70744,26211,7927
20200331,13080,14968,13690,17959,50784,10341,8148
20200401,13127,14645,13171,13616,29619,8368,8128
20200402,13919,15787,12440,12489,27319,8618,8485
20200403,13859,14764,12973,12084,27183,18287,9257
20200404,15019,15031,18371,12700,26666,12505,9589
20200405,15691,19394,14837,12438,29267,14816,10396
20200406,13003,15041,13592,11669,25589,11463,9047
20200407,14130,16529,13289,11245,26789,12405,7915
20200408,14015,14956,12514,11681,24126,9699,7771
20200409,14085,14610,17375,11939,25375,9330,9301
20200410,14631,16096,18946,16781,28692,9828,10442
20200411,16168,16197,19390,16479,50993,8625,10246
20200412,15183,15992,16253,15645,41115,8520,13438
20200413,14633,15593,17103,14183,36039,7426,11398
20200414,14208,14863,16490,12808,28291,8347,10607
20200415,13403,14234,15826,12184,25464,7050,9357
20200416,13019,15801,14017,12190,24186,7097,8554
20200417,15958,17150,14878,13146,25783,7834,9165
20200418,18070,15481,15051,13276,36281,11003,12626
20200419,63891,16164,13135,12952,136706,20793,12716
20200420,21295,15054,11560,12450,43656,8463,10903
20200421,17401,16203,11875,13150,32725,12872,10245
20200422,16100,14993,13505,12473,30469,16411,10012
20200423,17058,14764,12078,12628,33624,18430,9464
20200424,18443,13605,12502,12249,26174,45679,9888
20200425,18535,15247,13552,12892,26065,12100,10693
20200426,17615,15968,14080,12883,25286,11797,10720
20200427,16110,22319,12923,12143,26018,7363,8561
20200428,15798,25530,12361,11783,24572,7250,9146
20200429,15719,20046,15539,11297,25179,7711,9187
20200430,16888,15112,13131,13093,27022,6806,9446
20200501,16824,15528,13035,14349,24717,13755,10062
20200502,17818,26606,14460,16240,23364,7418,10696
20200503,16530,19170,14667,14397,25113,7753,10573
20200504,14576,22665,13588,12250,26503,6718,9192
20200505,14780,25365,13798,13063,25356,6245,9522
20200506,14372,20511,12660,12217,22879,6305,9258
20200507,13619,15426,11201,12053,21752,17778,9795
20200508,14624,20444,14132,12655,22966,9907,9249
20200509,14602,19504,17026,14017,22051,9258,10091
20200510,14791,18069,14278,12242,20890,8757,10031
20200511,15075,20158,14759,12118,22906,8510,8584
20200512,14193,17109,12149,12748,26021,7286,8342
20200513,13699,14872,11986,25768,21784,6117,8962
20200514,14264,15945,10819,15379,20745,9161,8739
20200515,14461,21168,11068,14085,20319,9477,10168
20200516,15712,22854,11602,16480,20279,7726,10104
20200517,16399,21203,11868,15716,20124,11805,9673
20200518,72495,19433,12291,12833,19905,6961,8798
20200519,24590,20811,11873,11842,21834,6337,8848
20200520,18627,21252,12217,11204,21583,8468,9387
20200521,17084,22443,11608,11988,21916,6370,9668
20200522,16053,17855,11731,12142,21833,6390,9292
20200523,16458,20320,12208,13041,21533,6088,10264
20200524,16026,18282,12318,14534,21084,6235,9668
20200525,18096,16039,11997,14215,21160,5556,15929
20200526,16558,15499,11439,12307,22053,6341,8004
20200527,14360,17338,10839,12247,33716,5109,8295
20200528,13769,15597,10863,12370,41159,5504,8728
20200529,17107,14754,11237,13406,26586,5319,8203
20200530,20969,13472,10390,12943,28205,5534,8373
20200531,16417,12988,10236,11825,39033,10426,8025
20200601,13322,12620,9431,10755,26816,5624,7186
20200602,12545,12112,9418,11346,22355,4716,6614
20200603,12034,11926,9627,10756,22026,5779,7377
20200604,12025,12084,9389,10967,21351,5544,7459
20200605,12397,12041,10513,11401,29352,5897,7787
20200606,12870,13229,11700,12412,34809,6380,8339
20200607,15194,14097,13113,13669,24935,6952,8896
20200608,13748,13340,11841,11221,22013,5950,7569
20200609,12070,12735,11094,10944,20366,5119,6949
20200610,12528,12630,11287,10854,19944,5698,6992
20200611,12899,11929,11089,10918,19975,5953,7271
20200612,13783,12115,10430,11430,19500,6630,8076
20200613,18730,12646,11361,11167,18635,6475,8253
20200614,16285,12284,11045,11416,19913,6054,8745
20200615,13182,11999,10013,10502,18635,7909,7861
20200616,13297,11739,9973,10662,18498,11451,6884
20200617,12851,12117,10020,10132,18916,8645,6855
20200618,12077,12116,9915,10148,19245,6472,7171
20200619,12776,11671,10298,10967,22070,11560,7236
20200620,12649,12177,11548,11569,19457,17805,7635
20200621,15123,18333,10853,11810,19151,9081,7347
20200622,12807,40971,13586,11164,18010,13210,6947
20200623,12748,18760,11070,11204,17264,11713,6956
20200624,11136,14657,10242,11204,23012,11276,6841
20200625,11684,12740,9549,10338,22218,9919,6549
20200626,11942,14641,10931,12012,26161,9172,7206
20200627,12906,15937,11873,12174,24932,9236,8449
20200628,13617,17133,12295,11765,22261,9183,22882
20200629,13049,13430,10596,10860,20688,14174,10608
20200630,11629,13204,10451,10683,18746,10096,7415
20200701,11362,11833,9745,11047,17849,11170,7440
20200702,11630,11993,9620,10704,19504,10177,7512
20200703,11342,11720,9875,10249,20018,10206,7584
20200704,11321,12412,9785,11628,18120,8536,8383
20200705,13982,11950,10127,12202,18993,9509,7106
20200706,12283,11780,10416,10348,19840,10781,6559
20200707,11189,10837,9445,10762,18637,9473,6510
20200708,11845,11552,9510,10477,21016,7352,6588
20200709,12138,14443,10386,11355,20973,6349,7824
20200710,11505,12459,9976,10880,19026,6062,7492
20200711,12366,12685,11029,11026,18709,7415,7175
20200712,11853,12362,10832,11643,19347,7572,7327
20200713,11391,12675,10795,10581,18535,6232,6714
20200714,11579,12582,10942,12670,17722,5759,6943
20200715,11036,16479,10928,12458,18780,7653,6631
20200716,11141,14278,11113,11404,20522,6389,6729
20200717,12183,13852,10849,11862,20017,5878,7050
20200718,11472,13809,11379,12876,20095,6370,7666
20200719,11852,16390,11281,12943,19846,6284,7760
20200720,11393,13095,10778,13659,19604,5332,7080
20200721,11263,12946,11458,12662,20155,4937,6529
20200722,11477,13716,26348,12036,19619,5364,6506
20200723,69592,14200,21307,12013,18749,5611,7140
20200724,174737,15051,14091,11658,19926,5317,7721
20200725,90847,15542,12198,12455,21758,5583,8128
20200726,66333,15573,11718,12061,20917,5527,7566
20200727,56391,15198,11441,11755,19008,4857,10895
20200728,44357,17863,12254,13280,18310,4962,8776
20200729,38517,16787,10403,12479,20078,5170,8660
20200730,37687,13906,10662,14592,21573,4831,8583
20200731,35376,13860,9688,14612,30959,4835,7550
20200801,32275,12681,9269,13022,26929,6358,7822
20200802,30913,12865,9527,13009,25087,9489,7538
20200803,35252,12323,9898,11469,26633,6936,7065
20200804,30250,12150,9941,12697,23501,7567,6406
20200805,25150,11571,10730,12900,21519,6995,6922
20200806,23926,13602,11472,18906,20833,7797,6028
20200807,23544,12994,10680,14688,20488,7489,6622
20200808,23291,14591,11176,14280,20358,7454,7112
20200809,22909,13898,12061,14414,20985,6925,8006
20200810,21703,12898,14676,13022,20878,6464,6817
20200811,20528,13713,11911,13195,19051,5725,7489
20200812,21342,12163,13587,11352,19389,5797,15810
20200813,19853,12169,12254,11437,20501,5520,13186
20200814,18351,11990,12290,11881,21759,7528,10285
20200815,20739,13399,12255,13631,21315,6477,10282
20200816,25285,14250,12146,13444,21236,6916,8954
20200817,20935,14186,11557,12610,20658,6426,9317
20200818,19657,12938,11149,12126,20452,8480,7500
20200819,17945,12647,10250,11079,24796,6004,7560
20200820,17898,12864,11587,10699,163034,9651,6699
20200821,24686,12317,12867,11145,45789,5890,7008
20200822,20128,11994,12562,11786,28852,5626,7575
20200823,18872,12992,11903,11060,28449,5345,7416
20200824,18032,16270,12347,10347,22822,4890,6454
20200825,17234,14085,11774,10153,22120,4421,6467
20200826,16196,12298,12612,12227,23835,4367,6451
20200827,16409,11931,15630,14692,25231,5798,6485
20200828,16612,12571,23894,12261,24801,8520,6595
20200829,16495,13109,20109,11862,23656,6289,7477
20200830,16622,12794,18372,11470,29545,5594,8362
20200831,18876,13391,16140,11248,22499,5138,6829
20200901,15541,13260,14308,15392,21333,5452,50795
20200902,15420,11460,13987,12758,22148,5274,24901
20200903,15619,11657,18173,13014,26309,4812,12161
20200904,14319,18438,19313,11821,23312,4705,10327
20200905,15936,20892,17061,13488,22081,4700,9633
20200906,14933,17347,21671,14897,21145,5382,9072
20200907,16043,17543,24791,13141,20744,5998,8993
20200908,14928,15821,21516,10675,20911,6468,7733
20200909,13823,14680,21429,10635,19966,4537,7343
20200910,13535,15084,21638,11439,19429,15666,6912
20200911,13266,14211,18468,10976,19358,9457,8240
20200912,13978,15740,16250,11168,18784,5906,8387
20200913,15460,15486,16638,12018,18780,9588,8117
20200914,15292,14862,14108,12346,18436,8091,6875
20200915,13711,14772,13583,10870,18125,7633,6581
20200916,55027,14270,13511,12436,19985,6598,6780
20200917,39013,14738,13802,11733,20462,16562,6893
20200918,17606,22383,12918,11643,20588,27089,6932
20200919,15845,20116,13273,11384,18901,17751,7321
20200920,14902,18147,14008,11945,18761,13803,7299
20200921,12970,14946,12548,10325,18216,12448,6243
20200922,13533,15506,11865,10352,18083,18920,6665
20200923,13157,14356,12722,10514,18319,13909,7255
20200924,13264,15216,16893,10398,17208,21443,6939
20200925,12722,14922,22255,10496,17949,12937,6829
20200926,13709,14260,15730,12779,17235,9487,7771
20200927,14147,13255,13785,11854,23845,8293,6771
20200928,15904,12092,13723,11458,20000,8801,6215
20200929,15796,12601,13380,10848,19126,7367,6024
20200930,13212,13442,12039,9779,18001,6329,5826
20201001,12915,14889,11435,11257,22320,8251,5943
20201002,12355,13906,11669,14327,24749,7110,6424
20201003,13584,13020,11474,15468,25813,7599,6970
20201004,17306,14424,11944,13739,29201,8164,7514
20201005,14393,13475,10945,14688,27741,6958,6288
20201006,13044,12900,10860,16643,28467,7056,6473
20201007,14565,13658,11859,15479,21166,6820,7370
20201008,17189,12668,10936,11497,18345,6716,7904
20201009,13838,12698,11855,11512,19112,6802,9167
20201010,14068,13646,12150,12115,20563,7167,8640
20201011,15267,14473,14128,11430,19808,6884,7704
20201012,13956,13573,12314,12096,20324,6622,7171
20201013,13216,12488,11038,11142,34573,5636,6495
20201014,12824,11891,10418,10692,48739,6426,6755
20201015,14744,12635,12224,10577,76710,14633,8011
20201016,13557,18826,10911,11235,49824,7085,7134
20201017,14070,18233,10348,12042,37924,6891,7648
20201018,14802,55557,11964,12729,35677,6551,7749
20201019,13490,34433,12170,10409,28809,5789,6914
20201020,13400,21699,10823,9860,28244,5796,6659
20201021,13424,18545,10530,10242,22360,6086,7056
20201022,13959,16286,11024,10568,21303,5371,8084
20201023,13323,15957,11236,11230,20688,8214,6682
20201024,14421,16896,16698,11376,22361,6403,7045
20201025,14565,16456,23483,11503,23418,5686,7426
20201026,15323,14775,15829,11087,22091,4835,7889
20201027,15125,14911,13326,10474,21934,4903,7155
20201028,13325,14035,11931,10512,20298,4885,7785
20201029,13400,14582,11915,9831,25489,6122,6594
20201030,13734,15253,12406,10216,25968,6524,6164
20201031,13935,15688,12044,10180,22643,5484,6313
20201101,14380,15375,11780,10795,21759,5276,6314
20201102,14825,16585,11502,10005,19788,4936,6687
20201103,15179,16574,14668,9510,19008,5024,6383
20201104,12913,13564,10721,8672,15939,3975,5380
20201105,12627,14895,10527,9441,21234,4487,6057
20201106,13196,16010,10462,9473,24873,4537,6156
20201107,12723,15692,11159,10038,21848,16593,7218
20201108,13014,15954,13640,10578,19898,15231,6434
20201109,12917,15677,12251,10514,19573,8205,7295
20201110,14044,14984,10843,9968,19585,5715,7498
20201111,13105,15101,12135,10744,21155,5703,6855
20201112,13550,28255,13156,10746,27929,5073,7691
20201113,15245,16725,12486,10971,36237,5362,7412
20201114,17332,16451,12573,11706,38735,7265,7712
20201115,15909,17367,13166,12312,32965,6229,8377
20201116,16197,20932,12472,10768,38709,4824,7488
20201117,34381,19885,12615,11299,31782,5625,6929
20201118,19567,18660,15440,10690,28845,4912,7771
20201119,15464,17883,13280,10966,27978,5417,6630
20201120,15145,24582,13224,10750,27371,5108,7821
20201121,14669,24494,13516,12008,28221,5507,7806
20201122,15601,24991,13083,12508,26661,5364,7638
20201123,25248,48354,13585,11508,42548,4786,7245
20201124,24431,30226,12198,10823,30110,5138,7059
20201125,37223,25983,11873,10797,36586,6926,6862
20201126,32705,21097,11864,10341,27843,7036,7085
20201127,23641,18297,11353,11152,26558,7743,7004
20201128,23384,19130,13443,11537,26589,6138,7547
20201129,22323,24312,16978,11339,24704,6613,7687
20201130,18409,18965,15162,10341,31385,6448,7193
20201201,16639,24512,15161,21228,49680,6248,6677
20201202,19453,24749,16155,22207,45821,6051,6930
20201203,20456,19172,17799,16369,38837,6286,7020
20201204,19065,20726,20793,14616,34832,5850,7084
20201205,18903,20577,25345,14569,50805,5556,7306
20201206,17685,18238,23289,13751,31500,5928,7083
20201207,52178,16380,17884,11858,27660,4773,6922
20201208,16512,15901,13750,11635,24357,4332,6904
20201209,18157,15967,13765,12395,25973,4847,6494
20201210,83038,17644,13047,11526,27185,5522,6861
20201211,135376,15679,12933,10996,25956,4908,7715
20201212,78733,16722,14547,10861,26786,4875,7466
20201213,71832,16613,13893,12187,27587,5170,8417
20201214,52890,16094,11972,10836,29256,4816,7195
20201215,47542,15330,11561,11100,29486,4267,6700
20201216,40082,14462,11211,10729,34882,4370,7584
20201217,36607,14585,12444,11318,33595,4650,7402
20201218,30708,15820,11709,12249,53842,5080,6864
20201219,27216,14774,11098,13794,44050,4814,7476
20201220,27902,16133,13751,13705,30241,4823,9844
20201221,28323,16681,14520,12337,26021,4387,16359
20201222,27375,16154,13852,12157,27508,4339,11868
20201223,23208,16278,11866,12025,27352,4816,8527
20201224,21585,16426,11018,11217,24271,4637,8015
20201225,19971,17641,10838,12293,23346,4594,7912
20201226,24718,17317,11936,13565,22264,4612,9238
20201227,24011,16488,12985,15306,23888,5630,10924
20201228,22916,18349,13123,13312,22645,5322,9204
20201229,22215,19149,12528,13410,27200,6343,9020
20201230,20463,18154,12677,15079,39960,6114,8145
20201231,20212,17195,12316,14554,28108,86701,12964
20210101,23450,27991,12941,16169,26062,103738,12212
20210102,23701,27942,14317,16077,24187,9342,9875
20210103,21699,22374,14266,16134,22630,11050,9680
20210104,19572,21977,12826,15624,21162,6866,8049
20210105,18989,18249,11801,13042,20280,5944,8122
20210106,19209,16507,12366,11739,20127,5016,7342
20210107,17986,14861,13248,11414,17531,4485,7036
20210108,19114,16124,13089,11516,19746,6100,7866
20210109,19254,17519,13329,12444,20904,6023,8701
20210110,20011,18166,14670,12333,21893,5931,8841
20210111,19895,18104,13657,11020,19069,4826,7743
20210112,18311,17625,14183,11109,18932,4689,7956
20210113,18320,17059,12951,12136,19664,4551,8049
20210114,17165,15381,16290,12498,18572,4507,8405
20210115,18053,15197,41481,12075,21226,4774,8363
20210116,18586,15065,28809,16357,19555,5411,9427
20210117,18049,14666,22328,13428,20757,5595,8478
20210118,16455,13729,18655,12281,19203,4825,7514
20210119,15579,13239,14541,11244,20281,7297,7062
20210120,16452,12508,14037,12191,18056,4975,6629
20210121,16473,13089,15680,12035,19673,4511,6692
20210122,19425,13316,16090,12054,22571,4973,7062
20210123,16838,16851,17096,12078,25455,5621,9343
20210124,16782,20221,19145,12783,21723,6122,8601
20210125,15463,15097,16714,13260,23141,22485,7431
20210126,14968,13916,15350,12157,27856,18760,7652
20210127,16229,14418,17212,11002,24992,6689,7253
20210128,15695,13630,16360,12237,23217,5629,6793
20210129,16139,14169,22431,13160,20575,6063,7622
20210130,17189,14792,21678,12676,23867,7439,8586
20210131,16438,14488,22364,12650,21985,6484,8302
20210201,17376,13350,16954,11228,18734,5794,6847
20210202,15693,13483,14944,26684,19965,4921,6863
20210203,15758,13161,14612,116422,21542,5175,6998
20210204,17725,13324,14580,104875,20595,5095,7068
20210205,16890,14083,15837,69198,20499,5532,7598
20210206,15557,14491,16820,48491,22576,6264,9773
20210207,16126,13749,17587,32284,19732,15470,8569
20210208,14795,14740,31769,25491,21741,11748,7142
20210209,14797,12726,16115,19339,19180,5329,7995
20210210,14268,12514,13902,18726,18518,5238,6765
20210211,45923,13144,13310,17052,18914,4893,7160
20210212,66703,13020,13048,15086,18426,4948,7608
20210213,39852,13313,13222,16105,20388,5992,8275
20210214,34863,13489,13520,15019,18798,5380,8985
20210215,27453,14292,13113,15511,21668,5095,8141
20210216,22488,12623,11304,24516,23205,4664,7888
20210217,21226,12143,10732,24659,21510,4402,21281
20210218,21746,12272,12297,19511,21731,5077,10311
20210219,21949,13071,16814,19128,22768,5570,9225
20210220,21972,13640,12600,37843,23791,5114,9107
20210221,21768,13721,13587,37433,22588,5056,8901
20210222,20318,12794,11334,19461,23320,4807,7661
20210223,18970,12869,11166,15092,22732,4694,7490
20210224,19282,13415,11400,14261,39745,5219,7573
20210225,22189,13627,11543,14002,34605,6016,7786
20210226,18390,19408,12240,13115,59215,6403,8232
20210227,20466,21419,14529,14356,85185,5820,9155
20210228,20107,20479,13075,13762,68301,5793,8548
20210301,23986,38775,11944,13977,54302,4648,8295
20210302,33458,32061,11656,12906,42782,4619,8382
20210303,22457,20780,12509,12192,42462,4683,7164
20210304,19210,19164,11766,12471,39195,4402,7184
20210305,19041,22123,12310,12338,35699,4676,7771
20210306,18634,20526,11926,13214,39359,5273,8246
20210307,19148,19438,12107,13958,39864,5194,7787
20210308,18759,16880,10881,12930,32443,5017,7019
20210309,17047,17031,14157,11692,28561,4758,7243
20210310,17517,16388,15652,11390,27517,4341,6788
20210311,17120,17451,14955,11709,28241,4552,7165
20210312,19658,18469,21924,11858,27459,4910,7953
20210313,20463,21516,20432,17357,30076,7567,8509
20210314,23964,23227,16612,13255,38252,5999,8158
20210315,158351,25188,14381,14167,193494,6156,7922
20210316,68979,19142,12551,12373,84016,5360,8035
20210317,36422,19987,12745,11995,67255,4808,9278
20210318,28247,24501,12438,12143,63065,4641,8436
20210319,24806,63959,12557,12019,41866,5180,8368
20210320,24611,40050,12829,12717,37453,5006,8481
20210321,23475,32591,13200,12014,35290,4939,8036
20210322,21075,30897,12293,11446,31056,4565,7498
20210323,20871,27445,12702,10796,26476,4638,7262
20210324,22157,26327,12403,11638,24351,4459,11108
20210325,21926,24008,12252,13251,23294,6059,10518
20210326,25808,25049,12474,12157,22689,4605,8931
20210327,21561,25172,13376,11716,23626,5230,9279
20210328,20394,23544,12709,12519,23850,9876,8934
20210329,18831,24235,12063,11407,22412,5883,8737
20210330,18327,22870,11763,10983,21009,5141,8516
20210331,20016,20860,12349,11117,21665,4368,7356
20210401,17860,19987,10949,11567,21703,4495,7188
20210402,21380,23226,11063,11328,19242,4534,7856
20210403,22922,23152,11628,11063,21700,5372,8119
20210404,22500,22836,12344,11631,21725,5831,10476
20210405,21399,26790,12558,12135,20619,5098,7449
20210406,20357,24692,11978,12472,17880,4569,7250
20210407,25586,21881,11935,12373,17128,4809,6863
20210408,30314,21687,11254,11365,17956,5087,7058
20210409,77916,21273,11588,11304,18499,7894,7335
20210410,56514,20560,12104,11869,18851,9942,7623
20210411,42809,20958,13343,11738,18595,8951,7731
20210412,35850,19545,13147,10980,17838,5886,6510
20210413,30170,22018,12759,10722,15437,5153,6372
20210414,34043,26820,12430,10507,15509,4740,6378
20210415,28069,25072,12172,10783,15997,4995,6589
20210416,28376,22303,13311,11087,15864,5472,7493
20210417,27607,20831,12707,11369,16824,5906,6998
20210418,26954,33180,12627,11700,22356,5190,7887
20210419,27834,23857,14017,10279,18612,4202,6872
20210420,24648,19477,11905,10304,18201,5617,6710
20210421,21717,17959,11108,10212,18963,3994,6894
20210422,21409,19211,12177,10392,17472,4979,6644
20210423,22205,18575,12387,10196,16542,4535,6988
20210424,21522,20162,12975,11227,17872,4827,7442
20210425,21881,19106,12920,11528,17508,11137,7356
20210426,19490,18167,12958,11071,22914,6032,6497
20210427,18408,20843,12856,10356,38245,4352,6407
20210428,18859,20879,13212,10542,31196,5718,7388
20210429,19548,20331,12660,10536,32920,5475,6737
20210430,21624,20081,12961,10613,35728,5197,7568
20210501,20441,20287,14074,11675,30814,5153,7411
20210502,18986,20967,13523,11350,62116,4594,7374
